"id","description","mdnsName","dhcpHostname","mac","ip","vlan","switchport","device","usageSent","usageRecv","deviceSerial","networkId","networkName"
"kb6ff2f","switch-depot-881544dff3af",,"switch-depot-881544dff3af","88:15:44:df:f3:af","192.168.128.3",0,,"{""name"":null,""serial"":""Q2QN-9J8L-SLPD"",""mac"":""e0:55:3d:17:d4:23"",""publicIp"":""64.103.26.57"",""networkId"":""N_646829496481145355"",""status"":""online"",""usingCellularFailover"":false,""wan1Ip"":""10.10.10.106"",""wan2Ip"":null}","11911.368004735175","15006.045365450136","Q2QN-9J8L-SLPD","N_646829496481145355","MX65 Depot - 1"
"kbbd940","me0553d1cc880",,"me0553d1cc880","e0:55:3d:1c:c8:80","192.168.128.4",0,,"{""name"":null,""serial"":""Q2QN-9J8L-SLPD"",""mac"":""e0:55:3d:17:d4:23"",""publicIp"":""64.103.26.57"",""networkId"":""N_646829496481145355"",""status"":""online"",""usingCellularFailover"":false,""wan1Ip"":""10.10.10.106"",""wan2Ip"":null}","192.20038069862406","231.10019034931202","Q2QN-9J8L-SLPD","N_646829496481145355","MX65 Depot - 1"
"k8ff1f3","me0553d1042a6",,"me0553d1042a6","e0:55:3d:10:42:a6","192.168.128.5",0,,"{""name"":null,""serial"":""Q2QN-F2KR-YVC3"",""mac"":""e0:55:3d:70:a6:c5"",""publicIp"":""64.103.26.57"",""networkId"":""N_646829496481145356"",""status"":""online"",""usingCellularFailover"":false,""wan1Ip"":""10.10.30.104"",""wan2Ip"":null}","3897.483131582412","5770.246626365498","Q2QN-F2KR-YVC3","N_646829496481145356","MX65 Depot - 2"
"ka94699","m881544602110",,"m881544602110","88:15:44:60:21:10","192.168.128.4",0,,"{""name"":null,""serial"":""Q2QN-F2KR-YVC3"",""mac"":""e0:55:3d:70:a6:c5"",""publicIp"":""64.103.26.57"",""networkId"":""N_646829496481145356"",""status"":""online"",""usingCellularFailover"":false,""wan1Ip"":""10.10.30.104"",""wan2Ip"":null}","3692.5217731924413","5996.621972725949","Q2QN-F2KR-YVC3","N_646829496481145356","MX65 Depot - 2"
"kbbd398","phone-68b7241647ee4c01",,"phone-68b7241647ee4c01","e0:55:3d:4f:31:a2","192.168.128.6",0,,"{""name"":null,""serial"":""Q2QN-F2KR-YVC3"",""mac"":""e0:55:3d:70:a6:c5"",""publicIp"":""64.103.26.57"",""networkId"":""N_646829496481145356"",""status"":""online"",""usingCellularFailover"":false,""wan1Ip"":""10.10.30.104"",""wan2Ip"":null}",100,"1928.6554741376399","Q2QN-F2KR-YVC3","N_646829496481145356","MX65 Depot - 2"
"kd993f8","texte0-55-3d-f4-98-99-e0553df49899",,"texte0-55-3d-f4-98-99-e0553df49899","e0:55:3d:f4:98:99","192.168.128.3",0,,"{""name"":null,""serial"":""Q2QN-F2KR-YVC3"",""mac"":""e0:55:3d:70:a6:c5"",""publicIp"":""64.103.26.57"",""networkId"":""N_646829496481145356"",""status"":""online"",""usingCellularFailover"":false,""wan1Ip"":""10.10.30.104"",""wan2Ip"":null}","4111.3006747759155","6115.369977635942","Q2QN-F2KR-YVC3","N_646829496481145356","MX65 Depot - 2"
"k35c901","switch-depot-e0553dd1be67",,"switch-depot-e0553dd1be67","e0:55:3d:d1:be:67","192.168.128.2",0,,"{""name"":null,""serial"":""Q2QN-F2KR-YVC3"",""mac"":""e0:55:3d:70:a6:c5"",""publicIp"":""64.103.26.57"",""networkId"":""N_646829496481145356"",""status"":""online"",""usingCellularFailover"":false,""wan1Ip"":""10.10.30.104"",""wan2Ip"":null}","9543.752992757549","10863.03059197192","Q2QN-F2KR-YVC3","N_646829496481145356","MX65 Depot - 2"
"k21f75f","switch-depot-881544dffe8e",,"switch-depot-881544dffe8e","88:15:44:df:fe:8e","192.168.128.3",0,,"{""name"":null,""serial"":""Q2QN-WPR6-UJPL"",""mac"":""e0:55:3d:17:d5:1a"",""publicIp"":""64.103.26.57"",""networkId"":""N_646829496481145357"",""status"":""online"",""usingCellularFailover"":false,""wan1Ip"":""10.10.10.108"",""wan2Ip"":null}","12220.349609865563","15387.07471946305","Q2QN-WPR6-UJPL","N_646829496481145357","MX65 Depot - 3"
"k05a30c","me0553d212660",,"me0553d212660","e0:55:3d:21:26:60","192.168.128.4",0,,"{""name"":null,""serial"":""Q2QN-WPR6-UJPL"",""mac"":""e0:55:3d:17:d5:1a"",""publicIp"":""64.103.26.57"",""networkId"":""N_646829496481145357"",""status"":""online"",""usingCellularFailover"":false,""wan1Ip"":""10.10.10.108"",""wan2Ip"":null}","4255.5706995178025","5982.417552389809","Q2QN-WPR6-UJPL","N_646829496481145357","MX65 Depot - 3"
"k6dfc7e","me0553df43917",,"me0553df43917","e0:55:3d:f4:39:17","10.129.216.34",103,,"{""name"":null,""serial"":""Q2QN-WS5Y-DN8E"",""mac"":""e0:55:3d:70:ad:86"",""publicIp"":""64.103.26.57"",""networkId"":""N_646829496481145358"",""status"":""online"",""usingCellularFailover"":false,""wan1Ip"":""10.10.10.109"",""wan2Ip"":null}",0,177,"Q2QN-WS5Y-DN8E","N_646829496481145358","MX65 Depot - 4"
