"number","name","enabled","splashPage","ssidAdminAccessible","authMode","ipAssignmentMode","minBitrate","bandSelection","perClientBandwidthLimitUp","perClientBandwidthLimitDown","networkId","networkName","networkTemplateId","psk","encryptionMode","wpaEncryptionMode","walledGardenEnabled","walledGardenRanges","radiusServers","radiusAccountingEnabled","radiusAccountingServers","radiusCoaEnabled","radiusAttributeForGroupPolicies","radiusFailoverPolicy","radiusLoadBalancingPolicy","useVlanTagging","radiusOverride"
0,"EU AP Depot WiFi",true,"None",false,"open","NAT mode",11,"Dual band operation",0,0,"N_646829496481145363","EU AP Depot",,,,,,,,,,,,,,,
1,"Unconfigured SSID 2",false,"None",false,"open","NAT mode",11,"Dual band operation",0,0,"N_646829496481145363","EU AP Depot",,,,,,,,,,,,,,,
2,"Unconfigured SSID 3",false,"None",false,"open","NAT mode",11,"Dual band operation",0,0,"N_646829496481145363","EU AP Depot",,,,,,,,,,,,,,,
3,"Unconfigured SSID 4",false,"None",false,"open","NAT mode",11,"Dual band operation",0,0,"N_646829496481145363","EU AP Depot",,,,,,,,,,,,,,,
4,"Unconfigured SSID 5",false,"None",false,"open","NAT mode",11,"Dual band operation",0,0,"N_646829496481145363","EU AP Depot",,,,,,,,,,,,,,,
5,"Unconfigured SSID 6",false,"None",false,"open","NAT mode",11,"Dual band operation",0,0,"N_646829496481145363","EU AP Depot",,,,,,,,,,,,,,,
6,"Unconfigured SSID 7",false,"None",false,"open","NAT mode",11,"Dual band operation",0,0,"N_646829496481145363","EU AP Depot",,,,,,,,,,,,,,,
7,"Unconfigured SSID 8",false,"None",false,"open","NAT mode",11,"Dual band operation",0,0,"N_646829496481145363","EU AP Depot",,,,,,,,,,,,,,,
8,"Unconfigured SSID 9",false,"None",false,"open","NAT mode",11,"Dual band operation",0,0,"N_646829496481145363","EU AP Depot",,,,,,,,,,,,,,,
9,"Unconfigured SSID 10",false,"None",false,"open","NAT mode",11,"Dual band operation",0,0,"N_646829496481145363","EU AP Depot",,,,,,,,,,,,,,,
